val_acc,val_loss,step,epoch,loss,acc
0.9125000238418579,0.27784082293510437,25,0,,
,,49,1,0.08173844963312149,1.0
0.9312499761581421,0.21577391028404236,51,1,,
0.9437500238418579,0.2041514664888382,77,2,,
,,99,3,0.3835771083831787,0.8399999737739563
0.9125000238418579,0.20569440722465515,103,3,,
0.8999999761581421,0.2311832159757614,129,4,,
,,149,5,0.026058021932840347,1.0
0.893750011920929,0.25273919105529785,155,5,,
0.949999988079071,0.1882837414741516,181,6,,
,,199,7,0.08049002289772034,1.0
0.8999999761581421,0.21295395493507385,207,7,,
0.9437500238418579,0.18481019139289856,233,8,,
,,249,9,0.09166524559259415,0.9599999785423279
0.893750011920929,0.2578743100166321,259,9,,
